x-axis,F1
Hertz,dBV
+32.600E+03,-66.20428E+00
+32.700E+03,-76.56774E+00
+32.800E+03,-66.97113E+00
+32.900E+03,-66.97594E+00
+33.000E+03,-68.12615E+00
+33.100E+03,-71.84314E+00
+33.200E+03,-69.20922E+00
+33.300E+03,-73.27823E+00
+33.400E+03,-72.66892E+00
+33.500E+03,-72.79512E+00
+33.600E+03,-75.02674E+00
+33.700E+03,-79.11422E+00
+33.800E+03,-73.48523E+00
+33.900E+03,-66.45103E+00
+34.000E+03,-77.65897E+00
+34.100E+03,-67.24024E+00
+34.200E+03,-71.33092E+00
+34.300E+03,-74.51711E+00
+34.400E+03,-71.06317E+00
+34.500E+03,-73.46133E+00
+34.600E+03,-74.98023E+00
+34.700E+03,-73.14709E+00
+34.800E+03,-77.44574E+00
+34.900E+03,-65.57348E+00
+35.000E+03,-75.18558E+00
+35.100E+03,-83.12999E+00
+35.200E+03,-69.76915E+00
+35.300E+03,-83.16073E+00
+35.400E+03,-77.07708E+00
+35.500E+03,-71.10499E+00
+35.600E+03,-76.39338E+00
+35.700E+03,-68.68941E+00
+35.800E+03,-78.69693E+00
+35.900E+03,-71.66788E+00
+36.000E+03,-74.42781E+00
+36.100E+03,-76.50099E+00
+36.200E+03,-65.67119E+00
+36.300E+03,-81.87354E+00
+36.400E+03,-76.55643E+00
+36.500E+03,-66.05575E+00
+36.600E+03,-80.18359E+00
+36.700E+03,-78.41729E+00
+36.800E+03,-67.79417E+00
+36.900E+03,-72.75741E+00
+37.000E+03,-77.75036E+00
+37.100E+03,-73.80421E+00
+37.200E+03,-66.83593E+00
+37.300E+03,-64.75413E+00
+37.400E+03,-80.81543E+00
+37.500E+03,-74.57769E+00
+37.600E+03,-76.10899E+00
+37.700E+03,-68.92368E+00
+37.800E+03,-71.29796E+00
+37.900E+03,-77.18975E+00
+38.000E+03,-76.25580E+00
+38.100E+03,-80.58995E+00
+38.200E+03,-73.13935E+00
+38.300E+03,-78.98672E+00
+38.400E+03,-70.27097E+00
+38.500E+03,-73.41168E+00
+38.600E+03,-78.92459E+00
+38.700E+03,-78.05865E+00
+38.800E+03,-74.01622E+00
+38.900E+03,-79.27519E+00
+39.000E+03,-84.68087E+00
+39.100E+03,-67.86328E+00
