Freq.	V(n003)/V(n001)
9.99999999999997e+000	(1.34419499300240e+001dB,1.79996953641456e+002°)
1.02329299228075e+001	(1.34419499298242e+001dB,1.79996882682650e+002°)
1.04712854805090e+001	(1.34419499296150e+001dB,1.79996810071001e+002°)
1.07151930523760e+001	(1.34419499293960e+001dB,1.79996735768009e+002°)
1.09647819614318e+001	(1.34419499291666e+001dB,1.79996659734279e+002°)
1.12201845430196e+001	(1.34419499289264e+001dB,1.79996581929495e+002°)
1.14815362149688e+001	(1.34419499286749e+001dB,1.79996502312405e+002°)
1.17489755493953e+001	(1.34419499284115e+001dB,1.79996420840795e+002°)
1.20226443461741e+001	(1.34419499281358e+001dB,1.79996337471467e+002°)
1.23026877081238e+001	(1.34419499278470e+001dB,1.79996252160218e+002°)
1.25892541179416e+001	(1.34419499275446e+001dB,1.79996164861815e+002°)
1.28824955169313e+001	(1.34419499272280e+001dB,1.79996075529971e+002°)
1.31825673855640e+001	(1.34419499268964e+001dB,1.79995984117321e+002°)
1.34896288259165e+001	(1.34419499265492e+001dB,1.79995890575396e+002°)
1.38038426460288e+001	(1.34419499261857e+001dB,1.79995794854601e+002°)
1.41253754462275e+001	(1.34419499258050e+001dB,1.79995696904182e+002°)
1.44543977074592e+001	(1.34419499254064e+001dB,1.79995596672204e+002°)
1.47910838816820e+001	(1.34419499249890e+001dB,1.79995494105523e+002°)
1.51356124843620e+001	(1.34419499245519e+001dB,1.79995389149758e+002°)
1.54881661891248e+001	(1.34419499240942e+001dB,1.79995281749259e+002°)
1.58489319246111e+001	(1.34419499236150e+001dB,1.79995171847081e+002°)
1.62181009735892e+001	(1.34419499231132e+001dB,1.79995059384952e+002°)
1.65958690743755e+001	(1.34419499225877e+001dB,1.79994944303244e+002°)
1.69824365246174e+001	(1.34419499220374e+001dB,1.79994826540938e+002°)
1.73780082874937e+001	(1.34419499214613e+001dB,1.79994706035596e+002°)
1.77827941003892e+001	(1.34419499208579e+001dB,1.79994582723324e+002°)
1.81970085860998e+001	(1.34419499202262e+001dB,1.79994456538740e+002°)
1.86208713666286e+001	(1.34419499195646e+001dB,1.79994327414939e+002°)
1.90546071796324e+001	(1.34419499188719e+001dB,1.79994195283459e+002°)
1.94984459975804e+001	(1.34419499181465e+001dB,1.79994060074242e+002°)
1.99526231496887e+001	(1.34419499173870e+001dB,1.79993921715596e+002°)
2.04173794466952e+001	(1.34419499165917e+001dB,1.79993780134165e+002°)
2.08929613085403e+001	(1.34419499157588e+001dB,1.79993635254878e+002°)
2.13796208950222e+001	(1.34419499148867e+001dB,1.79993487000918e+002°)
2.18776162394954e+001	(1.34419499139736e+001dB,1.79993335293681e+002°)
2.23872113856833e+001	(1.34419499130173e+001dB,1.79993180052728e+002°)
2.29086765276776e+001	(1.34419499120161e+001dB,1.79993021195748e+002°)
2.34422881531991e+001	(1.34419499109676e+001dB,1.79992858638514e+002°)
2.39883291901948e+001	(1.34419499098697e+001dB,1.79992692294836e+002°)
2.45470891568502e+001	(1.34419499087201e+001dB,1.79992522076516e+002°)
2.51188643150957e+001	(1.34419499075163e+001dB,1.79992347893302e+002°)
2.57039578276885e+001	(1.34419499062557e+001dB,1.79992169652839e+002°)
2.63026799189537e+001	(1.34419499049358e+001dB,1.79991987260623e+002°)
2.69153480392690e+001	(1.34419499035536e+001dB,1.79991800619946e+002°)
2.75422870333815e+001	(1.34419499021063e+001dB,1.79991609631849e+002°)
2.81838293126444e+001	(1.34419499005908e+001dB,1.79991414195068e+002°)
2.88403150312659e+001	(1.34419498990039e+001dB,1.79991214205980e+002°)
2.95120922666637e+001	(1.34419498973422e+001dB,1.79991009558547e+002°)
3.01995172040200e+001	(1.34419498956022e+001dB,1.79990800144263e+002°)
3.09029543251358e+001	(1.34419498937801e+001dB,1.79990585852094e+002°)
3.16227766016837e+001	(1.34419498918722e+001dB,1.79990366568418e+002°)
3.23593656929627e+001	(1.34419498898744e+001dB,1.79990142176970e+002°)
3.31131121482590e+001	(1.34419498877824e+001dB,1.79989912558774e+002°)
3.38844156139201e+001	(1.34419498855918e+001dB,1.79989677592082e+002°)
3.46736850452530e+001	(1.34419498832980e+001dB,1.79989437152314e+002°)
3.54813389233574e+001	(1.34419498808961e+001dB,1.79989191111983e+002°)
3.63078054770100e+001	(1.34419498783810e+001dB,1.79988939340637e+002°)
3.71535229097171e+001	(1.34419498757474e+001dB,1.79988681704783e+002°)
3.80189396320559e+001	(1.34419498729896e+001dB,1.79988418067819e+002°)
3.89045144994279e+001	(1.34419498701019e+001dB,1.79988148289961e+002°)
3.98107170553495e+001	(1.34419498670781e+001dB,1.79987872228169e+002°)
4.07380277804111e+001	(1.34419498639117e+001dB,1.79987589736072e+002°)
4.16869383470333e+001	(1.34419498605962e+001dB,1.79987300663888e+002°)
4.26579518801591e+001	(1.34419498571244e+001dB,1.79987004858349e+002°)
4.36515832240164e+001	(1.34419498534889e+001dB,1.79986702162613e+002°)
4.46683592150961e+001	(1.34419498496821e+001dB,1.79986392416188e+002°)
4.57088189614873e+001	(1.34419498456960e+001dB,1.79986075454841e+002°)
4.67735141287196e+001	(1.34419498415219e+001dB,1.79985751110516e+002°)
4.78630092322636e+001	(1.34419498371512e+001dB,1.79985419211241e+002°)
4.89778819368444e+001	(1.34419498325744e+001dB,1.79985079581039e+002°)
5.01187233627270e+001	(1.34419498277820e+001dB,1.79984732039832e+002°)
5.12861383991362e+001	(1.34419498227637e+001dB,1.79984376403351e+002°)
5.24807460249770e+001	(1.34419498175089e+001dB,1.79984012483032e+002°)
5.37031796370250e+001	(1.34419498120064e+001dB,1.79983640085920e+002°)
5.49540873857622e+001	(1.34419498062446e+001dB,1.79983259014564e+002°)
5.62341325190346e+001	(1.34419498002113e+001dB,1.79982869066916e+002°)
5.75439937337154e+001	(1.34419497938936e+001dB,1.79982470036220e+002°)
